tag,Australian standard
assemblages,"['DIVISION 09 ENGINEERING', 'DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING', 'DIVISION 02 PHYSICAL SCIENCES', 'DIVISION 03 CHEMICAL SCIENCES']"
assets,[nan]
assistance,[nan]
assistant,[nan]
asthma,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
asylum seeker,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
asymmetry,['DIVISION 01 MATHEMATICAL SCIENCES']
athlete,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
athletes,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
athletic injuries,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
athletic performance,[nan]
atropine,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
attack,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
attention capture,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
attitude to health,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
attribute,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
auckland,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
audit,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
australasia,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
australian capital territory,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
authentication,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
authenticity,[nan]
authority,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
autism spectrum disorder,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
autistic disorder,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
automation,[nan]
automobiles,[nan]
autonomic nervous system,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
autonomy,"[nan, 'DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
availability,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
aviation,"['DIVISION 15 COMMERCE', 'TOURISM AND SERVICES', 'MANAGEMENT']"
baby,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
bachelor,[nan]
back,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
bacteria,[nan]
bacterial artificial chromosomes,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
bangladesh,"[nan, 'DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
bank,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
banking,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
banking industry,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
banking sector,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
basal metabolism,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
basin,['DIVISION 12 BUILT ENVIRONMENT AND DESIGN']
basins,['DIVISION 04 EARTH SCIENCES']
basketball,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
beetle,['DIVISION 05 ENVIRONMENTAL SCIENCES']
behavioral sciences,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
benchmarking,"[nan, 'DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
bereavement,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
best practice,[nan]
beverages,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'DIVISION 09 ENGINEERING']"
big data,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
bill,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
bioaccumulation,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
biodiversity,['DIVISION 05 ENVIRONMENTAL SCIENCES']
biogeography,[nan]
biological assessment,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
biological control,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
biomarkers,[nan]
biomechanical phenomena,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
biometrics,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
biosecurity,['DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES']
biota,['DIVISION 05 ENVIRONMENTAL SCIENCES']
bird,[nan]
birds,"['DIVISION 05 ENVIRONMENTAL SCIENCES', 'DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
bitcoin,[nan]
bivalve,['DIVISION 05 ENVIRONMENTAL SCIENCES']
bivalvia,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
blended learning,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
blindness,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
blockchain,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
blogging,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
blood,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
blood flow velocity,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
blood glucose,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
blood platelets,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
blood pressure,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
blood vessels,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
body composition,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
body condition,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
body image,"['DIVISION 10 TECHNOLOGY', 'DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'DIVISION 06 BIOLOGICAL SCIENCES']"
body mass,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
body mass index,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
body size,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
body weight,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
body weight changes,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
bone and bones,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
bone density,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
book,[nan]
book review,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
border,[nan]
brain,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
brain computer interface,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
brazil,[nan]
breast,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
breast feeding,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
breast neoplasms,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
breeding,"['DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES', 'DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
broadcast,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
broadcaster,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
broadcasting,"['DIVISION 10 TECHNOLOGY', 'DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
budget,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
buffers,[nan]
building,['DIVISION 12 BUILT ENVIRONMENT AND DESIGN']
built environment,['DIVISION 12 BUILT ENVIRONMENT AND DESIGN']
bullying,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
burden,[nan]
bureaucracy,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
bushfire,['DIVISION 04 EARTH SCIENCES']
cacodylic acid,[nan]
calcium,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
camera,['DIVISION 09 ENGINEERING']
cameras,['DIVISION 09 ENGINEERING']
campaign,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
canada,[nan]
canaries,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
canberra,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
cancer survivors,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
candidacy,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
cannabis,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
canopy,['DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES']
capacity building,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
capital city,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
capitalist society,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
car,"['DIVISION 15 COMMERCE', 'TOURISM AND SERVICES', 'MANAGEMENT']"
carbidopa,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
carbohydrates,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
carbon,[nan]
carbon monoxide,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
carbon sequestration,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
cardiac rehabilitation,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
cardiorespiratory fitness,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
cardiovascular diseases,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
career,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
career development,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
caregiver,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
caregivers,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
case management,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
case studies,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
case-control studies,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
cash,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
