,BioText,label1,Interests,label2
784," Dr. Zhenchang Xing is an Associate Professor in the
Research School of Computer Science, Australian
National University. Previously, he was an Assistant
Professor in the School of Computer Science and
Engineering, Nanyang Technological University, Singapore,
from 2012-2016. Before joining NTU, Dr. Xing
was a Lee Kuan Yew Research Fellow in the School
of Computing, National University of Singapore
from 2009-2012. Dr. Xing obtained his Master of Engineering
from Nankai University, Tianjin, China in
2001, and his PhD degree from the University of
Alberta, Canada in 2008. Dr. Xing’s main research
area is software engineering, applied data analytics,
and human-computer interaction. He has published
expertise in traditional areas of software engineering
such as software differencing, clone analysis
and feature location. In his most recent work,
Dr. Xing has focused on designing domain-specific
data-mining techniques and recommendation systems
for the timely and serendipitous discovery of software
engineering information on the internet. Dr.
Xing has over 80 publications in refereed journals
and conference proceedings. His research work has
been published in top software engineering venues
such as ICSE, FSE, ASE, ICSME, SANER, MSR, TSE,
EMSE. Four of his research papers have won Best Paper
awards in ICSM2006, ICSM2011, SANER2016, ASE2016
ToolDemo. Three others have won nominations for
Best Paper awards in ASE2005, ICSM2014, and SANER2015.
Dr. Xing regularly referees papers and serves
on the program committees of the top software engineering
conferences (e.g., ICSE, ASE, ICSME). He
has won AUD$1,000,000 in industry and government
funding and has industrial collaborations with Rolls-Royce,
Insigma Hengtian, and Bangsun Technology.
Dr. Xing has graduated six phd students, two of
which are now faculty members in universities, two
are postdoctural fellow, one in MSRA Suzhou,and one
in Tencent AI lab. He currently supervise 3 PhD
students, 7 Master students and several undergraduate
Honours projects. Dr. Xing and his research team
has been actively working on the following research
projects: - Software Engineering: Semantic clone
analysis, Software graph embedding and reasoning,
Code search and generation - Human-Computer Interaction:
Policy assurance bot, UI design critics
and generation, Domain-specific dialogue systems
- Knowledge Graph: Entity and relation extraction
in software text, Software weaknesses and vulnerabilities
representation learning - Deep Learning in
SE: Question answering and chatbot, Software development
knowledge and behavior tracing, Multi-modal
(e.g, code, text, image) embedding and retrieval
 ",,"My research is centered around software engineering,
which I believe is a unique perspective of computing
research. This perspective represents the quest
to answer ""how can we build complex systems simply?"".
My current research focus is to exploit data
science to improve software development productivity.
My research combines software analytics, behavioral
research methods, data mining and deep learning
techniques, and interaction design to solve
the information problems in software engineering.
The long-term vision is to incorporate the innovations
in these four areas into an intelligent working
environment for software engineering. My research
work can be clustered into three areas on different
types of software engineering data: - Software
artifacts: Investigate static and dynamic program
analysis techniques for program comprehension, software
maintenance, and system security - Interaction
data with the working environment: Understand
how developers work, and then design innovative tools
to improve their work or new metrics to assess
their work - Crowdsourced software content: Mining
a knowledge base about software-specific entities
and relationships to improve developers’ life on
the Internet The center theme of my work is to exploit
the three pillars - knowledge graph, machine
learning and behavior analytics to solve challenging
software engineering problems.",
787,"Zhiwei Xu is a research fellow working on   under the
supervision of  at the ANU. From 2017 to 2021,
he was a Ph.D. student working on Markov random field
optimization and other computer vision topics
under the supervision of  and  at the ANU. Prior to
that, he worked in industry from 2015 to 2017, obtained
his master degree in Electrical Engineering
in 2015 and bachelor degree in Electrical Engineering
in 2012.",,Deep Declarative Network and Markov Random Field Optimization,
795,,,Machine Learning Computational Biology Data Mining,
796,"Dr Mohammad Yamin is an Adjunct Associate Professor
at the Research School of Computer Science, and a
Professor of MIS at the King Abdulaziz University,
Jeddah, Saudi Arabia. Previously, he has held tanure
positions at a number of international universities
including the University of Canberra (1999
- 2009). Mohammad has also worked as an IT Officer
at the Department of Human Services from 1997-2001.",,,
802,,,Wireless Communications and Networking Nano-scale Communications,
805,"2015-: Ph.D. student in Thermal Engineering, Southeast
University, China 2005-2009: B.Sc. in Physics,
Sichuan Normal University, China",,"His research interests refer to the novel designs of
solar dish concentrator and cavity receiver with
improved optical and thermal performance as well
as the studies on Monte Carlo rays tracking method
and computational fluid dynamics related.",
808,"My research area is formal methods for verification
of safety-critical systems and concurrency. At The
Australian National University (ANU), I am researching
methods for the verification of security protocols,
with Professor Alwen Tiu. Before coming to
ANU, I was a Senior Lecturer at De Montfort University,
UK, since 2017. Before that, from 2013 to
2017, I was a Research Associate at Newcastle University,
UK, working on concurrency verification using
rely/guarantee reasoning, with Professor Cliff
B. Jones. From 2011 to 2013, I worked on projects
on the verification of an air-traffic control system
at The University of Queensland, Australia. My
PhD was at Griffith University, supervised initially
by Professor Geoff Dromey and then by Dr Kirsten
Winter. Before my PhD, from 2004 to 2007, I was
a researcher in the ARC Centre for Complex Systems
and Griffith University, working with Professor
Geoff Dromey on the Behavior Tree specification language.
Please see my website for more information
and for a full list of my publications:",,"My research interests include: Please see my website
for full details about my research.",
809,,,"I am now interested in topics such as GPU accelerating.
I am now doing research for Dr.Eric McCreath
for High Performance Computing. I am interested in
topics such as user-centred interfaces designing.
I was doing research for Professor Tom Gedeon about
user interface. I have already built several open-source
applications with user-centred interfaces.
They are all hosted on  .",
817,"Ghodai Abdelrahman is a PhD research student at the
Research School of Engineering and Computer Science.
She is working under the supervision of Dr.Qing
Wang on addressing the “Knowledge tracing “ problem
for online tutoring systems. Ghodai graduated
from Helwan University in Egypt with specialization
of Software Engineering. She has both academic and
technical work experience in teaching software
Engineering related courses and working as a software
quality assurance engineer respectively. ",,,
818,​,,,
819,"I received my M.Sc in early 2009 from University of
Tehran,Iran and BE in Computer Engineering from Amirkabir
University of Technology,Iran. I am now a
PhD student under the supervision of Prof. John Lloyd.
My PhD Topic is about designing a new agent
framework for uncertain,structured environments.",,"Artificial Intelligence, Agent frameworks, Logic, Learning
(AI context as well as the original definition!)",
821,"Doctor Zhuoran (Randy) Zengpresently a research fellow
at the Australian National University. He received
his B. Eng. with first-class honour (2011) and
Ph.D. (2016) from Monash University. He was an postdoctoral
research fellow (2016 - 2017) and Assistant
Lecturer (2017-2019) at Monash University. His
research interests include design and development
of magnesium wrought alloys, mechanical metallurgy,
X-ray diffraction, and electron microscopy. He
is currently working on the development of high
performance ultra-lightweight Mg-Li based wrought
alloy, materials degradation and protection, and application
of advanced characterisation techniques
(particularly in-situ techniques). He is now the
reviewer of several journals includingActa Materialia,
  etc For more information -  ",,,
