Tags,value
lower extremity,DIVISION 11 MEDICAL AND HEALTH SCIENCES
lowlands,DIVISION 04 EARTH SCIENCES
macquaria ambigua,DIVISION 06 BIOLOGICAL SCIENCES
macroinvertebrates,DIVISION 06 BIOLOGICAL SCIENCES
malaria,DIVISION 11 MEDICAL AND HEALTH SCIENCES
malnutrition,DIVISION 11 MEDICAL AND HEALTH SCIENCES
mammal,DIVISION 06 BIOLOGICAL SCIENCES
mammography,DIVISION 11 MEDICAL AND HEALTH SCIENCES
manager,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
mangrove,DIVISION 05 ENVIRONMENTAL SCIENCES
marsupial,DIVISION 06 BIOLOGICAL SCIENCES
masculinity,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
mechanics,DIVISION 09 ENGINEERING
medial tibial stress syndrome,DIVISION 11 MEDICAL AND HEALTH SCIENCES
mediatization,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
mediator,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
medicare,DIVISION 11 MEDICAL AND HEALTH SCIENCES
medication adherence,DIVISION 11 MEDICAL AND HEALTH SCIENCES
mediterranean diet,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
melanesia,DIVISION 24 OTHERS(IRRELEVANT)
melbourne,DIVISION 24 OTHERS(IRRELEVANT)
membranes,DIVISION 06 BIOLOGICAL SCIENCES
memory,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
mental disorders,DIVISION 11 MEDICAL AND HEALTH SCIENCES
mental health services,DIVISION 11 MEDICAL AND HEALTH SCIENCES
mental illness,DIVISION 11 MEDICAL AND HEALTH SCIENCES
mesocosm,DIVISION 05 ENVIRONMENTAL SCIENCES
metagenomics,DIVISION 06 BIOLOGICAL SCIENCES
metal,DIVISION 03 CHEMICAL SCIENCES
metals,DIVISION 03 CHEMICAL SCIENCES
metaphor,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
metatheria,DIVISION 06 BIOLOGICAL SCIENCES
metropolis,DIVISION 16 STUDIES IN HUMAN SOCIETY
microcosm,DIVISION 24 OTHERS(IRRELEVANT)
micrornas,DIVISION 06 BIOLOGICAL SCIENCES
middle cerebral artery,DIVISION 11 MEDICAL AND HEALTH SCIENCES
military,DIVISION 23 OTHERS(RELEVANT)
minister,DIVISION 16 STUDIES IN HUMAN SOCIETY
ministry,DIVISION 16 STUDIES IN HUMAN SOCIETY
misgurnus anguillicaudatus,DIVISION 06 BIOLOGICAL SCIENCES
mismatch,DIVISION 23 OTHERS(RELEVANT)
mobilization,DIVISION 16 STUDIES IN HUMAN SOCIETY
modernization,DIVISION 16 STUDIES IN HUMAN SOCIETY
monoclonal antibodies,DIVISION 06 BIOLOGICAL SCIENCES
monopoly,DIVISION 14 ECONOMICS
morbidity,DIVISION 11 MEDICAL AND HEALTH SCIENCES
motor skills,DIVISION 11 MEDICAL AND HEALTH SCIENCES
motor vehicle,DIVISION 09 ENGINEERING
multiple sclerosis,DIVISION 11 MEDICAL AND HEALTH SCIENCES
muscle,DIVISION 11 MEDICAL AND HEALTH SCIENCES
muscle strength,DIVISION 11 MEDICAL AND HEALTH SCIENCES
muscle weakness,DIVISION 11 MEDICAL AND HEALTH SCIENCES
muscles,DIVISION 11 MEDICAL AND HEALTH SCIENCES
museum,DIVISION 16 STUDIES IN HUMAN SOCIETY
musician,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
muslim,DIVISION 16 STUDIES IN HUMAN SOCIETY
myth,DIVISION 21 HISTORY AND ARCHAEOLOGY
nation state,DIVISION 16 STUDIES IN HUMAN SOCIETY
national identity,DIVISION 16 STUDIES IN HUMAN SOCIETY
neck pain,DIVISION 11 MEDICAL AND HEALTH SCIENCES
need,DIVISION 24 OTHERS(IRRELEVANT)
needs assessment,DIVISION 23 OTHERS(RELEVANT)
nest,DIVISION 06 BIOLOGICAL SCIENCES
network analysis,DIVISION 10 TECHNOLOGY
network architecture,DIVISION 10 TECHNOLOGY
network protocols,DIVISION 10 TECHNOLOGY
new guinea,DIVISION 24 OTHERS(IRRELEVANT)
new public management,DIVISION 16 STUDIES IN HUMAN SOCIETY
new zealand,DIVISION 24 OTHERS(IRRELEVANT)
newborn infant,DIVISION 11 MEDICAL AND HEALTH SCIENCES
news media,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
news report,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
nexus,DIVISION 23 OTHERS(RELEVANT)
non-governmental organization,DIVISION 16 STUDIES IN HUMAN SOCIETY
nonparametric statistics,DIVISION 01 MATHEMATICAL SCIENCES
nurse practitioners,DIVISION 11 MEDICAL AND HEALTH SCIENCES
nurse specialists,DIVISION 11 MEDICAL AND HEALTH SCIENCES
nursing students,DIVISION 11 MEDICAL AND HEALTH SCIENCES
nutrients,DIVISION 11 MEDICAL AND HEALTH SCIENCES
obstetrics,DIVISION 11 MEDICAL AND HEALTH SCIENCES
ocean,DIVISION 04 EARTH SCIENCES
oceania,DIVISION 04 EARTH SCIENCES
oceans and seas,DIVISION 04 EARTH SCIENCES
ocular vision,DIVISION 11 MEDICAL AND HEALTH SCIENCES
offense,DIVISION 24 OTHERS(IRRELEVANT)
oils,DIVISION 03 CHEMICAL SCIENCES
olympics,DIVISION 16 STUDIES IN HUMAN SOCIETY
opposition,DIVISION 24 OTHERS(IRRELEVANT)
opuntia,DIVISION 06 BIOLOGICAL SCIENCES
oral health,DIVISION 11 MEDICAL AND HEALTH SCIENCES
organizations,DIVISION 24 OTHERS(IRRELEVANT)
outcomes research,DIVISION 23 OTHERS(RELEVANT)
ovarian neoplasms,DIVISION 11 MEDICAL AND HEALTH SCIENCES
oxidation-reduction,DIVISION 03 CHEMICAL SCIENCES
oxygen,DIVISION 03 CHEMICAL SCIENCES
ozenoxacin,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pakistan,DIVISION 24 OTHERS(IRRELEVANT)
panel data,DIVISION 23 OTHERS(RELEVANT)
parasites,DIVISION 06 BIOLOGICAL SCIENCES
parents,DIVISION 24 OTHERS(IRRELEVANT)
path analysis,DIVISION 01 MATHEMATICAL SCIENCES
pathway,DIVISION 23 OTHERS(RELEVANT)
patient care team,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pattern recognition,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
pedagogy,DIVISION 13 EDUCATION
pedestrian,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
peer influence,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
penalty,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
pension,DIVISION 16 STUDIES IN HUMAN SOCIETY
people with disabilities,DIVISION 16 STUDIES IN HUMAN SOCIETY
peptides,DIVISION 06 BIOLOGICAL SCIENCES
permeability,DIVISION 02 PHYSICAL SCIENCES
personality disorders,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pharmacies,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pharmacist,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pharmacokinetics,DIVISION 11 MEDICAL AND HEALTH SCIENCES
pharmacy education,DIVISION 11 MEDICAL AND HEALTH SCIENCES
phenomenology,DIVISION 06 BIOLOGICAL SCIENCES
phenotype,DIVISION 06 BIOLOGICAL SCIENCES
philosophy,DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES
phylogenetics,DIVISION 06 BIOLOGICAL SCIENCES
physical education,DIVISION 13 EDUCATION
physical fitness,DIVISION 11 MEDICAL AND HEALTH SCIENCES
physical therapists,DIVISION 11 MEDICAL AND HEALTH SCIENCES
physiological factors,DIVISION 11 MEDICAL AND HEALTH SCIENCES
physiological response,DIVISION 11 MEDICAL AND HEALTH SCIENCES
planning process,DIVISION 24 OTHERS(IRRELEVANT)
plant species,DIVISION 06 BIOLOGICAL SCIENCES
plastic,DIVISION 03 CHEMICAL SCIENCES
playground,DIVISION 16 STUDIES IN HUMAN SOCIETY
poem,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
poetics,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
pogona vitticeps,DIVISION 06 BIOLOGICAL SCIENCES
policy,DIVISION 16 STUDIES IN HUMAN SOCIETY
policy change,DIVISION 16 STUDIES IN HUMAN SOCIETY
policy studies,DIVISION 16 STUDIES IN HUMAN SOCIETY
political history,DIVISION 16 STUDIES IN HUMAN SOCIETY
political institution,DIVISION 16 STUDIES IN HUMAN SOCIETY
political science,DIVISION 16 STUDIES IN HUMAN SOCIETY
political scientist,DIVISION 16 STUDIES IN HUMAN SOCIETY
population,DIVISION 16 STUDIES IN HUMAN SOCIETY
population characteristics,DIVISION 16 STUDIES IN HUMAN SOCIETY
population health,DIVISION 11 MEDICAL AND HEALTH SCIENCES
power relations,DIVISION 16 STUDIES IN HUMAN SOCIETY
practice (psychology),DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
prediction,DIVISION 23 OTHERS(RELEVANT)
predictors,DIVISION 23 OTHERS(RELEVANT)
prescriptions,DIVISION 11 MEDICAL AND HEALTH SCIENCES
president,DIVISION 16 STUDIES IN HUMAN SOCIETY
pressure,DIVISION 23 OTHERS(RELEVANT)
primary school,DIVISION 13 EDUCATION
principal,DIVISION 24 OTHERS(IRRELEVANT)
prisons,DIVISION 16 STUDIES IN HUMAN SOCIETY
private practice,DIVISION 24 OTHERS(IRRELEVANT)
probiotics,DIVISION 06 BIOLOGICAL SCIENCES
problem behavior,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
problem-based learning,DIVISION 23 OTHERS(RELEVANT)
production function,DIVISION 09 ENGINEERING
professional education,DIVISION 13 EDUCATION
professional role,DIVISION 13 EDUCATION
program evaluation,DIVISION 09 ENGINEERING
projection,DIVISION 23 OTHERS(RELEVANT)
proliferation,DIVISION 06 BIOLOGICAL SCIENCES
propaganda,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
property rights,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
proprioception,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
prose poetry,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
prosody,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
prosperity,DIVISION 24 OTHERS(IRRELEVANT)
proteins,DIVISION 06 BIOLOGICAL SCIENCES
protocols,DIVISION 23 OTHERS(RELEVANT)
psychiatry,DIVISION 11 MEDICAL AND HEALTH SCIENCES
psychological theory,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
public health nursing,DIVISION 11 MEDICAL AND HEALTH SCIENCES
public law,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
public opinion,DIVISION 16 STUDIES IN HUMAN SOCIETY
public sphere,DIVISION 16 STUDIES IN HUMAN SOCIETY
pulse,DIVISION 23 OTHERS(RELEVANT)
qualitative interview,DIVISION 23 OTHERS(RELEVANT)
quantitative research,DIVISION 23 OTHERS(RELEVANT)
questionnaire,DIVISION 23 OTHERS(RELEVANT)
questionnaire survey,DIVISION 23 OTHERS(RELEVANT)
radio,DIVISION 10 TECHNOLOGY
radiography,DIVISION 11 MEDICAL AND HEALTH SCIENCES
radiotherapy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
randomized controlled trials,DIVISION 23 OTHERS(RELEVANT)
rate,DIVISION 23 OTHERS(RELEVANT)
rationality,DIVISION 23 OTHERS(RELEVANT)
reconciliation,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
recording,DIVISION 23 OTHERS(RELEVANT)
recurrence,DIVISION 11 MEDICAL AND HEALTH SCIENCES
recycling,DIVISION 05 ENVIRONMENTAL SCIENCES
referral and consultation,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
refrigeration,DIVISION 09 ENGINEERING
refugees,DIVISION 16 STUDIES IN HUMAN SOCIETY
regime,DIVISION 16 STUDIES IN HUMAN SOCIETY
regulatory framework,DIVISION 16 STUDIES IN HUMAN SOCIETY
remediation,DIVISION 23 OTHERS(RELEVANT)
reproducibility of results,DIVISION 23 OTHERS(RELEVANT)
reproduction,DIVISION 11 MEDICAL AND HEALTH SCIENCES
republic of south africa,DIVISION 24 OTHERS(IRRELEVANT)
reputation,DIVISION 24 OTHERS(IRRELEVANT)
research focus,DIVISION 23 OTHERS(RELEVANT)
research planning,DIVISION 23 OTHERS(RELEVANT)
research process,DIVISION 23 OTHERS(RELEVANT)
research program,DIVISION 23 OTHERS(RELEVANT)
research support,DIVISION 23 OTHERS(RELEVANT)
resettlement,DIVISION 16 STUDIES IN HUMAN SOCIETY
residents,DIVISION 16 STUDIES IN HUMAN SOCIETY
resource,DIVISION 23 OTHERS(RELEVANT)
responsibility,DIVISION 24 OTHERS(IRRELEVANT)
restructuring,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
retail,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
reward,DIVISION 24 OTHERS(IRRELEVANT)
rice,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
rights,DIVISION 16 STUDIES IN HUMAN SOCIETY
rise,DIVISION 23 OTHERS(RELEVANT)
risk analysis,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
risk factors,DIVISION 23 OTHERS(RELEVANT)
river,DIVISION 04 EARTH SCIENCES
rna viruses,DIVISION 06 BIOLOGICAL SCIENCES
road,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
robot,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
robotics,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
robots,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
roc curve,DIVISION 23 OTHERS(RELEVANT)
running,DIVISION 13 EDUCATION
rural women,DIVISION 16 STUDIES IN HUMAN SOCIETY
russia,DIVISION 24 OTHERS(IRRELEVANT)
salinity,DIVISION 04 EARTH SCIENCES
sample size,DIVISION 23 OTHERS(RELEVANT)
scenario,DIVISION 23 OTHERS(RELEVANT)
school grade,DIVISION 13 EDUCATION
science,DIVISION 23 OTHERS(RELEVANT)
science policy,DIVISION 16 STUDIES IN HUMAN SOCIETY
seawater,DIVISION 04 EARTH SCIENCES
secondary education,DIVISION 13 EDUCATION
secretory immunoglobulin a,DIVISION 11 MEDICAL AND HEALTH SCIENCES
seed dispersal,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
self efficacy,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
self report,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
self-concept,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
self-control,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
self-esteem,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
servants,DIVISION 16 STUDIES IN HUMAN SOCIETY
service provider,DIVISION 23 OTHERS(RELEVANT)
service quality,DIVISION 23 OTHERS(RELEVANT)
set theory,DIVISION 01 MATHEMATICAL SCIENCES
sex ratio,DIVISION 11 MEDICAL AND HEALTH SCIENCES
sexual health,DIVISION 11 MEDICAL AND HEALTH SCIENCES
shame,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
shield,DIVISION 24 OTHERS(IRRELEVANT)
short-term memory,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
shoulder,DIVISION 11 MEDICAL AND HEALTH SCIENCES
signal processing,DIVISION 09 ENGINEERING
single nucleotide polymorphism,DIVISION 10 TECHNOLOGY
skeletal muscle,DIVISION 11 MEDICAL AND HEALTH SCIENCES
skin,DIVISION 23 OTHERS(RELEVANT)
sleep,DIVISION 23 OTHERS(RELEVANT)
small and medium-sized enterprises,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
social class,DIVISION 16 STUDIES IN HUMAN SOCIETY
social development,DIVISION 16 STUDIES IN HUMAN SOCIETY
social norms,DIVISION 16 STUDIES IN HUMAN SOCIETY
social policy,DIVISION 16 STUDIES IN HUMAN SOCIETY
social relations,DIVISION 16 STUDIES IN HUMAN SOCIETY
social science,DIVISION 16 STUDIES IN HUMAN SOCIETY
social system,DIVISION 16 STUDIES IN HUMAN SOCIETY
social welfare,DIVISION 16 STUDIES IN HUMAN SOCIETY
socioeconomic status,DIVISION 16 STUDIES IN HUMAN SOCIETY
sociologist,DIVISION 16 STUDIES IN HUMAN SOCIETY
source of information,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
south america,DIVISION 24 OTHERS(IRRELEVANT)
south korea,DIVISION 24 OTHERS(IRRELEVANT)
sovereignty,DIVISION 16 STUDIES IN HUMAN SOCIETY
spain,DIVISION 24 OTHERS(IRRELEVANT)
spatial learning,DIVISION 01 MATHEMATICAL SCIENCES
spatial reasoning,DIVISION 01 MATHEMATICAL SCIENCES
spawning,DIVISION 06 BIOLOGICAL SCIENCES
speech,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
speech recognition,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
speech-language pathology,DIVISION 11 MEDICAL AND HEALTH SCIENCES
spinal cord injuries,DIVISION 11 MEDICAL AND HEALTH SCIENCES
sport,DIVISION 13 EDUCATION
stable isotopes,DIVISION 02 PHYSICAL SCIENCES
staging,DIVISION 24 OTHERS(IRRELEVANT)
stakeholder participation,DIVISION 16 STUDIES IN HUMAN SOCIETY
stakeholders,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
standard of living,DIVISION 16 STUDIES IN HUMAN SOCIETY
stereotype,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
stock enhancement,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
stroop test,DIVISION 11 MEDICAL AND HEALTH SCIENCES
structural equation model,DIVISION 01 MATHEMATICAL SCIENCES
subspecies,DIVISION 06 BIOLOGICAL SCIENCES
sun,DIVISION 02 PHYSICAL SCIENCES
supply chains,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
support vector machines,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
survey method,DIVISION 23 OTHERS(RELEVANT)
switzerland,DIVISION 24 OTHERS(IRRELEVANT)
symbol,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
symbolic interactionism,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
systematic reviews,DIVISION 23 OTHERS(RELEVANT)
systems analysis,DIVISION 23 OTHERS(RELEVANT)
tablets,DIVISION 23 OTHERS(RELEVANT)
tactics,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
tax,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
tax cuts,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
taxation,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
tea tree oil,DIVISION 09 ENGINEERING
teacher,DIVISION 24 OTHERS(IRRELEVANT)
technical innovation,DIVISION 23 OTHERS(RELEVANT)
technology use,DIVISION 23 OTHERS(RELEVANT)
telecommunication,DIVISION 10 TECHNOLOGY
telecommunications,DIVISION 10 TECHNOLOGY
telephone,DIVISION 10 TECHNOLOGY
temporality,DIVISION 24 OTHERS(IRRELEVANT)
tendons,DIVISION 11 MEDICAL AND HEALTH SCIENCES
terminology,DIVISION 23 OTHERS(RELEVANT)
tertiary education,DIVISION 13 EDUCATION
text,DIVISION 24 OTHERS(IRRELEVANT)
textbooks,DIVISION 13 EDUCATION
textiles,DIVISION 09 ENGINEERING
theanine,DIVISION 09 ENGINEERING
theater,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
theoretical models,DIVISION 23 OTHERS(RELEVANT)
thinking,DIVISION 24 OTHERS(IRRELEVANT)
thorax,DIVISION 11 MEDICAL AND HEALTH SCIENCES
tissues,DIVISION 06 BIOLOGICAL SCIENCES
tomography,DIVISION 09 ENGINEERING
topical therapy,DIVISION 11 MEDICAL AND HEALTH SCIENCES
topology,DIVISION 01 MATHEMATICAL SCIENCES
torque,DIVISION 09 ENGINEERING
torres strait,DIVISION 24 OTHERS(IRRELEVANT)
toy,DIVISION 09 ENGINEERING
training program,DIVISION 13 EDUCATION
transcranial direct current stimulation,DIVISION 11 MEDICAL AND HEALTH SCIENCES
translocation,DIVISION 06 BIOLOGICAL SCIENCES
trapping,DIVISION 24 OTHERS(IRRELEVANT)
triage,DIVISION 11 MEDICAL AND HEALTH SCIENCES
tropics,DIVISION 04 EARTH SCIENCES
tsunami,DIVISION 04 EARTH SCIENCES
tungiasis,DIVISION 06 BIOLOGICAL SCIENCES
turbidity,DIVISION 23 OTHERS(RELEVANT)
twenty first century,DIVISION 24 OTHERS(IRRELEVANT)
twitter,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
united nations,DIVISION 24 OTHERS(IRRELEVANT)
university teacher,DIVISION 13 EDUCATION
urban areas,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
urban development,DIVISION 14 ECONOMICS
urinary tract infections,DIVISION 11 MEDICAL AND HEALTH SCIENCES
user interfaces,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
utilization,DIVISION 24 OTHERS(IRRELEVANT)
utopia,DIVISION 16 STUDIES IN HUMAN SOCIETY
vaccines,DIVISION 11 MEDICAL AND HEALTH SCIENCES
validation studies,DIVISION 23 OTHERS(RELEVANT)
value co-creation,DIVISION 16 STUDIES IN HUMAN SOCIETY
value creation,DIVISION 16 STUDIES IN HUMAN SOCIETY
vertebrate,DIVISION 06 BIOLOGICAL SCIENCES
video,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
virtual community,DIVISION 16 STUDIES IN HUMAN SOCIETY
virus diseases,DIVISION 06 BIOLOGICAL SCIENCES
viruses,DIVISION 06 BIOLOGICAL SCIENCES
visual acuity,DIVISION 11 MEDICAL AND HEALTH SCIENCES
vocabulary,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
wages,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
warming,DIVISION 04 EARTH SCIENCES
water planning,DIVISION 12 BUILT ENVIRONMENT AND DESIGN
weblog,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
websites,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
welfare,DIVISION 16 STUDIES IN HUMAN SOCIETY
welfare economics,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
who,DIVISION 16 STUDIES IN HUMAN SOCIETY
wi-fi,DIVISION 10 TECHNOLOGY
wildlife,DIVISION 05 ENVIRONMENTAL SCIENCES
wireless sensor networks,DIVISION 10 TECHNOLOGY
witness,DIVISION 24 OTHERS(IRRELEVANT)
women's health services,DIVISION 11 MEDICAL AND HEALTH SCIENCES
woodlands,DIVISION 07 AGRICULTURAL AND VETERINARY SCIENCES
workers,DIVISION 16 STUDIES IN HUMAN SOCIETY
workforce,DIVISION 16 STUDIES IN HUMAN SOCIETY
workforce planning,DIVISION 16 STUDIES IN HUMAN SOCIETY
working hours,DIVISION 16 STUDIES IN HUMAN SOCIETY
workload,DIVISION 24 OTHERS(IRRELEVANT)
world bank,DIVISION 16 STUDIES IN HUMAN SOCIETY
x rays,DIVISION 11 MEDICAL AND HEALTH SCIENCES
x-rays,DIVISION 11 MEDICAL AND HEALTH SCIENCES
y chromosome,DIVISION 11 MEDICAL AND HEALTH SCIENCES
allele,DIVISION 10 TECHNOLOGY
aquatic ecosystem,DIVISION 04 EARTH SCIENCES
arid zones,DIVISION 06 BIOLOGICAL SCIENCES
bioaccumulation,DIVISION 06 BIOLOGICAL SCIENCES
biological assessment,DIVISION 06 BIOLOGICAL SCIENCES
biological control,DIVISION 06 BIOLOGICAL SCIENCES
biomechanical phenomena,DIVISION 06 BIOLOGICAL SCIENCES
bivalvia,DIVISION 06 BIOLOGICAL SCIENCES
blogging,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
blood flow velocity,DIVISION 11 MEDICAL AND HEALTH SCIENCES
blood pressure,DIVISION 11 MEDICAL AND HEALTH SCIENCES
body composition,DIVISION 11 MEDICAL AND HEALTH SCIENCES
body mass,DIVISION 11 MEDICAL AND HEALTH SCIENCES
bone density,DIVISION 11 MEDICAL AND HEALTH SCIENCES
brain,DIVISION 11 MEDICAL AND HEALTH SCIENCES
capitalist society,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
civil society,DIVISION 21 HISTORY AND ARCHAEOLOGY
clinical competence,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
clinical studies,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
cognitive impairment,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
collective decision,DIVISION 21 HISTORY AND ARCHAEOLOGY
commodity,DIVISION 21 HISTORY AND ARCHAEOLOGY
community health services,DIVISION 11 MEDICAL AND HEALTH SCIENCES
comorbidity,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
computer simulation,DIVISION 10 TECHNOLOGY
conditioning (psychology),DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
constitution,DIVISION 21 HISTORY AND ARCHAEOLOGY
constitutional state,DIVISION 21 HISTORY AND ARCHAEOLOGY
consumer health,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
contemporary poetry,DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING
context,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
continuity of patient care,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
creative arts,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
creative work,"DIVISION 20 LANGUAGE, COMMUNICATION AND CULTURE"
criminal law,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
cultural change,DIVISION 21 HISTORY AND ARCHAEOLOGY
cytochrome,DIVISION 10 TECHNOLOGY
decision support systems,DIVISION 09 ENGINEERING
decision support techniques,DIVISION 09 ENGINEERING
democratic institutions,DIVISION 21 HISTORY AND ARCHAEOLOGY
development policy,DIVISION 21 HISTORY AND ARCHAEOLOGY
devolution,DIVISION 21 HISTORY AND ARCHAEOLOGY
digital forensics,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
digital media,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
digital storage,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
digitalization,DIVISION 08 INFORMATION AND COMPUTING SCIENCES
disability insurance,DIVISION 16 STUDIES IN HUMAN SOCIETY
discrimination,DIVISION 16 STUDIES IN HUMAN SOCIETY
ecosystems,DIVISION 10 TECHNOLOGY
ecotourism,"DIVISION 15 COMMERCE, MANAGEMENT, TOURISM AND SERVICES"
election campaign,DIVISION 21 HISTORY AND ARCHAEOLOGY
emancipation,DIVISION 21 HISTORY AND ARCHAEOLOGY
emigration and immigration,DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES
ethnic group,DIVISION 21 HISTORY AND ARCHAEOLOGY
fabrication,DIVISION 09 ENGINEERING
fatigue,DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES
forensic genetics,DIVISION 10 TECHNOLOGY
freshwater ecosystem,DIVISION 06 BIOLOGICAL SCIENCES
gastrointestinal microbiome,DIVISION 10 TECHNOLOGY
gene,DIVISION 10 TECHNOLOGY
genetic diversity,DIVISION 10 TECHNOLOGY
genetic markers,DIVISION 10 TECHNOLOGY
genetic structure,DIVISION 10 TECHNOLOGY
genomics,DIVISION 10 TECHNOLOGY
